"BsmtFin.SF.1","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Mas.Vnr.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.Type.2","NOM.Alley","Fireplace.Qu","NOM.Garage.Type","NOM.Garage.Year","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","NOM.Pool","Fence","Lot.Frontage","Lot.Area","NOM.MS.SubClass","NOM.MS.Zoning","NOM.Street","NOM.Lot.Shape","NOM.Land.Contour","NOM.Lot.Config","NOM.Land.Slope","NOM.Neighborhood","NOM.Condition.1","NOM.Bldg.Type","NOM.House.Style","Overall.Qual","Overall.Cond","NOM.Year.Built","NOM.Year.Remod.Add","NOM.Roof.Style","NOM.Roof.Matl","NOM.Exterior.1st","NOM.Exterior.2nd","NOM.Mas.Vnr.Type","Exter.Qual","Exter.Cond","NOM.Foundation","NOM.Heating","Heating.QC","NOM.Central.Air","NOM.Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","NOM.Functional","Fireplaces","NOM.Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Mo.Sold","Yr.Sold","NOM.Sale.Type","NOM.Sale.Condition","SalePrice"
885,168,0,1053,81,1,0,3,2,3,6,2,"None",3,"Attchd","Bet.1966.1992",2,2,528,2,2,"yes",2,85,10625,85,"RL","Pave","Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","SFoyer",7,6,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","Plywood","Plywood","BrkFace",2,2,"CBlock","GasA",2,"Y","Standard",1173,0,0,1173,2,0,3,1,3,6,"Typ",2,"Paved",0,120,0,0,0,1,2010,"WD ","Family",170000
533,0,281,814,0,1,0,3,2,0,6,1,"None",0,"Attchd","Bet.1992.2005",2,2,663,2,2,"yes",0,65.2762446976859,7500,60,"FV","Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","2Story",7,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","VinylSd","VinylSd","None",3,2,"PConc","GasA",4,"Y","Standard",814,860,0,1674,2,1,3,1,3,7,"Typ",0,"Paved",0,96,0,0,0,1,2010,"WD ","Normal",216000
734,0,344,1078,0,1,0,2,2,0,6,1,"None",2,"Attchd","Bet.1966.1992",4,2,500,2,2,"yes",0,74.2771994540567,12537,20,"RL","Pave","IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","1Story",5,6,"Bet.1959.1987","Aft.2006","Gable","CompShg","VinylSd","VinylSd","None",2,2,"CBlock","GasA",4,"Y","Standard",1078,0,0,1078,1,1,3,1,2,6,"Typ",1,"Paved",0,0,0,0,0,4,2010,"WD ","Normal",149900
1051,0,354,1405,0,1,0,3,2,0,6,4,"None",2,"Attchd","Bet.1992.2005",4,2,511,2,2,"yes",0,26,5858,120,"RH","Pave","IR1","Lvl","FR2","Gtl","NAmes","Norm","TwnhsE","1Story",7,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","MetalSd","MetalSd","None",3,2,"PConc","GasA",4,"Y","Standard",1337,0,0,1337,2,0,2,1,3,5,"Typ",1,"Paved",203,68,0,0,0,6,2010,"WD ","Normal",184000
300,0,225,525,492,0,0,2,2,0,3,1,"None",0,"Detchd","Bet.1992.2005",1,1,320,2,2,"yes",0,21,1680,160,"RM","Pave","Reg","Lvl","Inside","Gtl","BrDale","Norm","Twnhs","2Story",5,5,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","HdBoard","HdBoard","BrkFace",2,2,"CBlock","GasA",2,"Y","Standard",525,567,0,1092,1,1,3,1,2,6,"Typ",0,"Paved",0,0,0,0,0,3,2010,"WD ","Normal",105500
360,0,709,1069,0,0,0,3,2,0,5,1,"None",2,"Attchd","Bet.1966.1992",2,2,440,2,2,"yes",0,53,4043,120,"RL","Pave","Reg","Lvl","Inside","Gtl","NPkVill","Norm","TwnhsE","1Story",6,5,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","Plywood","Plywood","None",2,2,"CBlock","GasA",2,"Y","Standard",1069,0,0,1069,2,0,2,1,2,4,"Typ",1,"Paved",0,55,0,0,165,7,2010,"WD ","Normal",127500
514,0,341,855,0,0,0,2,2,0,5,1,"None",3,"Attchd","Bet.1966.1992",1,2,440,2,2,"yes",0,24,2280,160,"RL","Pave","Reg","Lvl","FR2","Gtl","NPkVill","Norm","Twnhs","2Story",6,6,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","Plywood","Brk Cmn","None",2,2,"CBlock","GasA",2,"Y","Standard",855,601,0,1456,2,1,3,1,3,6,"Typ",1,"Paved",173,0,0,0,0,6,2010,"WD ","Normal",149900
0,0,836,836,0,0,0,3,2,0,1,1,"None",0,"Attchd","Bet.1966.1992",1,1,308,2,2,"yes",0,24,2280,120,"RL","Pave","Reg","Lvl","FR2","Gtl","NPkVill","Norm","Twnhs","1Story",7,6,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","Plywood","Brk Cmn","None",2,2,"CBlock","GasA",4,"Y","Standard",836,0,0,836,1,0,2,1,2,4,"Typ",0,"Paved",0,30,0,0,0,6,2010,"WD ","Normal",120000
0,0,1590,1590,162,0,0,4,2,0,1,1,"None",4,"Attchd","Aft.2005",4,3,751,2,2,"yes",0,102,12858,60,"RL","Pave","IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story",9,5,"Aft.2005","Aft.2006","Gable","CompShg","VinylSd","VinylSd","Stone",4,2,"PConc","GasA",4,"Y","Standard",1627,707,0,2334,2,1,3,1,4,10,"Typ",1,"Paved",144,133,0,0,0,1,2010,"New","Partial",376162
1218,0,486,1704,200,1,0,4,2,0,6,1,"None",4,"Attchd","Aft.2005",2,3,772,2,2,"yes",0,98,11478,20,"RL","Pave","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",8,5,"Aft.2005","Aft.2006","Gable","CompShg","VinylSd","VinylSd","Stone",3,2,"PConc","GasA",4,"Y","Standard",1704,0,0,1704,2,0,3,1,3,7,"Typ",1,"Paved",0,50,0,0,0,5,2010,"WD ","Normal",306000
110,0,1588,1698,615,0,0,4,2,0,6,1,"None",4,"Attchd","Aft.2005",4,3,730,2,2,"yes",0,90,11520,20,"RL","Pave","Reg","Lvl","Inside","Gtl","NridgHt","NotNorm","1Fam","1Story",9,5,"Aft.2005","Bet.1986.2006","Hip","CompShg","VinylSd","VinylSd","BrkFace",3,2,"PConc","GasA",4,"Y","Standard",1698,0,0,1698,2,0,3,1,4,7,"Typ",1,"Paved",192,74,0,0,0,6,2010,"WD ","Normal",275000
28,0,1794,1822,240,0,0,4,2,0,6,1,"None",4,"Attchd","Aft.2005",2,3,678,2,2,"yes",0,79,14122,20,"RL","Pave","IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",8,5,"Aft.2005","Aft.2006","Hip","CompShg","CemntBd","CmentBd","BrkFace",3,2,"PConc","GasA",4,"Y","Standard",1822,0,0,1822,2,0,3,1,4,8,"Typ",1,"Paved",0,119,0,0,0,2,2010,"WD ","Normal",259000
2,0,1515,1517,168,0,0,3,2,0,6,1,"None",0,"Attchd","Bet.1992.2005",2,2,532,2,2,"yes",0,70,10171,20,"RL","Pave","IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",7,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","VinylSd","VinylSd","BrkFace",3,2,"PConc","GasA",4,"Y","Standard",1535,0,0,1535,2,0,3,1,3,7,"Typ",0,"Paved",0,0,0,0,0,3,2010,"WD ","Normal",214000
24,0,1346,1370,178,0,0,3,2,1,6,1,"None",4,"Attchd","Aft.2005",2,2,484,2,2,"yes",0,41,7132,120,"RL","Pave","IR1","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story",8,5,"Aft.2005","Aft.2006","Gable","CompShg","VinylSd","VinylSd","Stone",3,2,"PConc","GasA",4,"Y","Standard",1370,0,0,1370,2,0,2,1,3,6,"Typ",1,"Paved",120,49,0,0,0,4,2010,"WD ","Normal",205000
0,0,764,764,106,0,0,3,2,0,1,1,"None",0,"BuiltIn","Bet.1992.2005",2,2,474,2,2,"yes",0,36,2628,160,"RL","Pave","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Twnhs","2Story",7,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","VinylSd","Wd Shng","Stone",3,2,"PConc","GasA",4,"Y","Standard",764,862,0,1626,2,1,2,1,3,6,"Typ",0,"Paved",0,27,0,0,0,6,2010,"WD ","Normal",175500
919,0,801,1720,338,1,0,3,2,0,6,1,"None",3,"Attchd","Bet.1992.2005",4,2,527,2,2,"yes",0,59,10593,20,"RL","Pave","IR1","Lvl","Inside","Gtl","NoRidge","Norm","1Fam","1Story",7,5,"Bet.1987.2005","Bet.1986.2006","Hip","CompShg","VinylSd","VinylSd","BrkFace",3,2,"PConc","GasA",4,"Y","Standard",1720,0,0,1720,2,0,3,1,3,7,"Typ",1,"Paved",240,56,154,0,0,3,2010,"WD ","Normal",260400
1032,0,431,1463,362,1,0,4,2,2,6,1,"None",3,"Attchd","Bet.1992.2005",2,2,712,2,2,"yes",0,98,12256,60,"RL","Pave","IR1","Lvl","Corner","Gtl","NoRidge","Norm","1Fam","2Story",8,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","HdBoard","HdBoard","BrkFace",3,2,"PConc","GasA",4,"Y","Standard",1500,1122,0,2622,2,1,3,1,3,9,"Typ",2,"Paved",186,32,0,0,0,4,2010,"WD ","Normal",325000
0,0,1595,1595,226,0,0,3,2,0,1,1,"None",4,"Attchd","Aft.2005",2,3,880,2,2,"yes",0,73,8987,20,"RL","Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",8,5,"Aft.2005","Aft.2006","Gable","CompShg","VinylSd","VinylSd","BrkFace",3,2,"PConc","GasA",4,"Y","Standard",1595,0,0,1595,2,0,2,1,3,6,"Typ",1,"Paved",144,0,0,0,0,5,2010,"WD ","Normal",221500
24,0,732,756,0,0,0,3,2,1,6,1,"None",0,"Attchd","Aft.2005",1,2,614,2,2,"yes",0,72,8640,60,"FV","Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","2Story",7,5,"Aft.2005","Aft.2006","Gable","CompShg","VinylSd","VinylSd","None",2,2,"PConc","GasA",4,"Y","Standard",764,783,0,1547,2,1,3,1,3,7,"Typ",0,"Paved",169,45,0,0,0,6,2010,"Con","Normal",215200
1078,0,488,1566,36,1,0,3,2,2,6,1,"None",0,"Attchd","Aft.2005",2,2,750,2,2,"yes",0,75,9000,20,"FV","Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",8,5,"Aft.2005","Aft.2006","Gable","CompShg","VinylSd","VinylSd","Stone",3,2,"PConc","GasA",4,"Y","Standard",1566,0,0,1566,2,0,3,1,3,7,"Typ",0,"Paved",144,168,0,0,0,4,2010,"WD ","Normal",262500
1414,0,54,1468,0,1,0,4,2,0,6,1,"None",4,"Attchd","Aft.2005",4,2,528,2,2,"yes",0,84,10440,20,"FV","Pave","Reg","Lvl","Corner","Gtl","Somerst","Norm","1Fam","1Story",6,5,"Aft.2005","Bet.1986.2006","Gable","CompShg","VinylSd","VinylSd","None",3,2,"PConc","GasA",4,"Y","Standard",1468,0,0,1468,2,0,2,1,3,6,"Typ",1,"Paved",0,102,0,0,216,5,2010,"WD ","Normal",271500
0,0,831,831,122,0,0,3,2,2,1,1,"None",0,"Attchd","Bet.1992.2005",2,2,484,2,2,"yes",0,70,11920,60,"RL","Pave","Reg","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","2Story",7,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","VinylSd","VinylSd","BrkFace",3,2,"PConc","GasA",4,"Y","Standard",831,828,0,1659,2,1,3,1,3,8,"Typ",0,"Paved",144,68,0,0,0,4,2010,"WD ","Normal",181000
695,0,253,948,0,1,0,3,2,0,6,1,"None",2,"Attchd","Bet.1992.2005",2,2,463,2,2,"yes",0,67.7422596994313,8880,60,"RL","Pave","IR1","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","2Story",7,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","VinylSd","VinylSd","None",3,2,"PConc","GasA",4,"Y","Standard",1222,888,0,2110,2,1,3,1,3,8,"Typ",2,"Paved",0,130,0,0,0,5,2010,"WD ","Normal",205000
0,0,1055,1055,0,0,0,3,2,0,1,1,"None",3,"Attchd","Bet.1992.2005",2,2,462,2,2,"yes",3,70,11218,60,"RL","Pave","Reg","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","2Story",6,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","Wd Sdng","Wd Sdng","None",3,2,"PConc","GasA",4,"Y","Standard",1055,790,0,1845,2,1,3,1,3,8,"Typ",1,"Paved",635,104,0,0,0,5,2010,"WD ","Normal",189000
0,0,918,918,0,0,0,3,2,0,1,1,"None",3,"Attchd","Bet.1966.1992",1,1,264,2,2,"yes",0,55,7892,120,"RL","Pave","Reg","Lvl","Inside","Gtl","SawyerW","Norm","TwnhsE","1Story",6,5,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","Plywood","Plywood","None",2,2,"CBlock","GasA",2,"Y","Standard",918,0,0,918,2,0,2,1,2,5,"Typ",1,"Paved",28,0,0,0,0,4,2010,"WD ","Normal",99500
623,121,0,744,0,1,0,3,2,0,5,2,"None",0,"Attchd","Bet.1966.1992",1,1,264,2,2,"yes",2,50,7175,120,"RL","Pave","Reg","Lvl","Inside","Gtl","SawyerW","Norm","TwnhsE","1Story",6,5,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","Plywood","Plywood","None",2,2,"CBlock","GasA",2,"Y","Standard",752,0,0,752,1,0,2,1,2,4,"Typ",0,"Paved",353,0,0,0,90,2,2010,"WD ","Normal",125000
402,0,594,996,0,0,0,3,2,0,4,1,"None",0,"Attchd","Bet.1992.2005",2,2,457,2,2,"yes",0,68.7661920153734,9453,60,"RL","Pave","IR1","Lvl","CulDSac","Gtl","SawyerW","NotNorm","1Fam","2Story",7,7,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","HdBoard","HdBoard","None",3,2,"PConc","GasA",4,"Y","Standard",1014,730,0,1744,2,1,3,1,3,7,"Typ",0,"Paved",370,70,0,238,0,2,2010,"WD ","Normal",194500
338,0,702,1040,0,0,0,3,2,0,6,1,"None",0,"Attchd","Bet.1966.1992",1,2,480,2,2,"yes",3,81,9672,20,"RL","Pave","Reg","Lvl","Corner","Gtl","SawyerW","Norm","1Fam","1Story",6,5,"Bet.1959.1987","Bet.1956.1986","Hip","CompShg","HdBoard","Plywood","None",2,2,"PConc","GasA",2,"Y","Standard",1097,0,0,1097,2,0,3,1,2,6,"Typ",0,"Paved",0,0,0,0,0,5,2010,"WD ","Normal",152000
0,0,0,0,0,0,0,0,0,0,0,0,"None",0,"Attchd","Bet.1966.1992",1,2,539,2,2,"yes",0,68,8930,90,"RM","Pave","Reg","Lvl","Inside","Gtl","Sawyer","NotNorm","Duplex","1.5Fin",6,5,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","VinylSd","VinylSd","None",2,2,"Slab","GasA",2,"Y","Standard",1318,584,0,1902,2,0,4,2,2,8,"Typ",0,"Paved",0,0,0,0,0,4,2010,"WD ","Normal",112000
899,0,210,1109,0,1,0,2,2,2,5,1,"None",0,"Detchd","Bet.1966.1992",1,2,576,2,2,"yes",2,88,11782,85,"RL","Pave","IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","SFoyer",5,7,"Bet.1959.1987","Bet.1986.2006","Gable","CompShg","HdBoard","HdBoard","None",2,2,"CBlock","GasA",2,"Y","Standard",1155,0,0,1155,1,0,3,1,3,6,"NotTyp",0,"Paved",192,0,0,0,0,6,2010,"WD ","Normal",148000
553,117,224,894,0,1,0,2,2,0,6,4,"None",4,"Detchd","Bet.1966.1992",1,1,336,2,2,"yes",2,65,8450,20,"RL","Pave","Reg","Lvl","Inside","Gtl","Sawyer","NotNorm","1Fam","1Story",5,8,"Bet.1959.1987","Aft.2006","Gable","CompShg","MetalSd","MetalSd","None",2,3,"CBlock","GasA",4,"Y","Standard",894,0,0,894,1,0,3,1,2,5,"Typ",1,"Paved",416,144,0,0,0,4,2010,"WD ","Normal",138500
450,0,432,882,31,0,0,2,2,0,4,1,"None",0,"Detchd","Bet.1966.1992",1,1,280,2,2,"yes",2,69.4202220810538,9819,20,"RL","Pave","IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,5,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","MetalSd","MetalSd","BrkFace",2,3,"CBlock","GasA",2,"Y","Standard",900,0,0,900,1,0,3,1,2,5,"Typ",0,"Paved",0,0,0,0,0,2,2010,"WD ","Normal",122000
824,0,216,1040,0,1,0,2,2,0,5,1,"None",0,"Attchd","Bef.1966",4,1,308,2,2,"yes",2,75,7500,20,"RL","Pave","Reg","Lvl","Corner","Gtl","Sawyer","NotNorm","1Fam","1Story",5,5,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","HdBoard","HdBoard","None",2,2,"CBlock","GasA",1,"Y","Standard",1040,0,0,1040,1,1,3,1,2,5,"Typ",0,"Paved",0,0,220,0,0,6,2010,"WD ","Normal",133000
1129,0,261,1390,180,1,0,3,2,0,6,1,"None",3,"Attchd","Bet.1992.2005",2,3,713,2,2,"yes",0,88,11134,60,"RL","Pave","Reg","Lvl","Inside","Gtl","NoRidge","Norm","1Fam","2Story",8,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","HdBoard","HdBoard","BrkFace",3,2,"PConc","GasA",4,"Y","Standard",1402,823,0,2225,2,1,4,1,3,7,"Typ",1,"Paved",198,30,0,0,0,6,2010,"WD ","Normal",285000
368,42,190,600,0,1,0,3,2,0,6,5,"Pave",0,"Detchd","Bet.1992.2005",2,2,480,2,2,"yes",0,24,2544,160,"FV","Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","Twnhs","2Story",7,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","MetalSd","MetalSd","None",3,2,"PConc","GasA",4,"Y","Standard",600,600,0,1200,2,1,2,1,3,4,"Typ",0,"Paved",0,172,0,0,0,2,2010,"WD ","Normal",149500
376,0,224,600,216,1,0,3,2,0,6,1,"Pave",0,"Detchd","Aft.2005",2,2,480,2,2,"yes",0,24,2544,160,"FV","Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","Twnhs","2Story",6,5,"Aft.2005","Bet.1986.2006","Gable","CompShg","VinylSd","VinylSd","BrkFace",3,2,"PConc","GasA",4,"Y","Standard",600,636,0,1236,2,1,2,1,3,4,"Typ",0,"Paved",0,166,0,0,0,5,2010,"WD ","Normal",152000
578,0,892,1470,432,1,0,4,2,2,6,1,"None",4,"Attchd","Aft.2005",4,2,484,2,2,"yes",0,59.7420066828993,4403,20,"FV","Pave","IR2","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",7,5,"Aft.2005","Aft.2006","Gable","CompShg","MetalSd","MetalSd","Stone",4,2,"PConc","GasA",4,"Y","Standard",1478,0,0,1478,2,1,2,1,3,7,"Typ",1,"Paved",0,144,0,0,0,6,2010,"New","Partial",222000
484,0,491,975,0,1,0,3,2,0,6,1,"None",3,"Attchd","Bet.1992.2005",2,2,592,2,2,"yes",0,68,7379,60,"FV","Pave","IR1","Lvl","Inside","Gtl","Somerst","Norm","1Fam","2Story",8,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","VinylSd","VinylSd","None",3,2,"PConc","GasA",4,"Y","Standard",975,873,0,1848,2,1,3,1,3,7,"Typ",1,"Paved",280,184,0,0,0,4,2010,"WD ","Normal",254000
728,0,0,728,0,1,0,3,2,3,6,1,"None",3,"Detchd","Bet.1966.1992",4,2,484,2,2,"yes",0,30,4420,120,"RL","Pave","IR1","Lvl","CulDSac","Gtl","Greens","Norm","TwnhsE","1Story",8,5,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","Wd Sdng","Wd Sdng","None",3,2,"CBlock","GasA",2,"Y","Standard",788,0,0,788,1,0,1,1,3,3,"Typ",1,"Paved",133,42,0,0,0,6,2010,"WD ","Normal",155000
1052,0,174,1226,0,1,0,3,2,3,6,1,"None",3,"Attchd","Bet.1966.1992",4,2,484,2,2,"yes",0,40,3880,120,"RL","Pave","IR1","Lvl","Inside","Gtl","Greens","Norm","Twnhs","1Story",8,6,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","Wd Sdng","Plywood","None",3,2,"CBlock","GasA",2,"Y","Standard",1226,0,0,1226,1,0,1,1,3,4,"Typ",1,"Paved",223,78,0,0,0,1,2010,"WD ","Normal",206000
