"Order","PID","MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice"
11,527358200,85,"RL",85,10625,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","SFoyer",7,6,1974,1974,"Gable","CompShg","Plywood","Plywood","BrkFace",81,"TA","TA","CBlock","Gd","TA","Gd","GLQ",885,"LwQ",168,0,1053,"GasA","TA","Y","SBrkr",1173,0,0,1173,1,0,2,0,3,1,"Gd",6,"Typ",2,"TA","Attchd",1974,"RFn",2,528,"TA","TA","Y",0,120,0,0,0,0,NA,"MnPrv",NA,0,1,2010,"WD ","Family",170000
12,527368020,60,"FV",NA,7500,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",533,"Unf",0,281,814,"GasA","Ex","Y","SBrkr",814,860,0,1674,1,0,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd",2000,"RFn",2,663,"TA","TA","Y",0,96,0,0,0,0,NA,NA,NA,0,1,2010,"WD ","Normal",216000
13,527402250,20,"RL",NA,12537,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1971,2008,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",734,"Unf",0,344,1078,"GasA","Ex","Y","SBrkr",1078,0,0,1078,1,0,1,1,3,1,"TA",6,"Typ",1,"Fa","Attchd",1971,"Fin",2,500,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",149900
14,527427230,120,"RH",26,5858,"Pave",NA,"IR1","Lvl","AllPub","FR2","Gtl","NAmes","Norm","Norm","TwnhsE","1Story",7,5,1999,1999,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",1051,"BLQ",0,354,1405,"GasA","Ex","Y","SBrkr",1337,0,0,1337,1,0,2,0,2,1,"Gd",5,"Typ",1,"Fa","Attchd",1999,"Fin",2,511,"TA","TA","Y",203,68,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",184000
15,527451330,160,"RM",21,1680,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",5,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",492,"TA","TA","CBlock","TA","TA","No","Rec",300,"Unf",0,225,525,"GasA","TA","Y","SBrkr",525,567,0,1092,0,0,1,1,3,1,"TA",6,"Typ",0,NA,"Detchd",1997,"Unf",1,320,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","Normal",105500
16,527452190,120,"RL",53,4043,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NPkVill","Norm","Norm","TwnhsE","1Story",6,5,1977,1977,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",360,"Unf",0,709,1069,"GasA","TA","Y","SBrkr",1069,0,0,1069,0,0,2,0,2,1,"TA",4,"Typ",1,"Fa","Attchd",1977,"RFn",2,440,"TA","TA","Y",0,55,0,0,165,0,NA,NA,NA,0,7,2010,"WD ","Normal",127500
17,527453130,160,"RL",24,2280,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","NPkVill","Norm","Norm","Twnhs","2Story",6,6,1975,1975,"Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",514,"Unf",0,341,855,"GasA","TA","Y","SBrkr",855,601,0,1456,0,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",1975,"Unf",2,440,"TA","TA","Y",173,0,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",149900
18,527453150,120,"RL",24,2280,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","NPkVill","Norm","Norm","Twnhs","1Story",7,6,1975,1975,"Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,836,836,"GasA","Ex","Y","SBrkr",836,0,0,836,0,0,1,0,2,1,"TA",4,"Typ",0,NA,"Attchd",1975,"Unf",1,308,"TA","TA","Y",0,30,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",120000
19,528108120,60,"RL",102,12858,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2009,2010,"Gable","CompShg","VinylSd","VinylSd","Stone",162,"Ex","TA","PConc","Ex","TA","No","Unf",0,"Unf",0,1590,1590,"GasA","Ex","Y","SBrkr",1627,707,0,2334,0,0,2,1,3,1,"Ex",10,"Typ",1,"Gd","Attchd",2009,"Fin",3,751,"TA","TA","Y",144,133,0,0,0,0,NA,NA,NA,0,1,2010,"New","Partial",376162
20,528112020,20,"RL",98,11478,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","GLQ",1218,"Unf",0,486,1704,"GasA","Ex","Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2008,"RFn",3,772,"TA","TA","Y",0,50,0,0,0,0,NA,NA,NA,0,5,2010,"WD ","Normal",306000
21,528120120,20,"RL",90,11520,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","PosN","Norm","1Fam","1Story",9,5,2005,2005,"Hip","CompShg","VinylSd","VinylSd","BrkFace",615,"Gd","TA","PConc","Ex","TA","No","GLQ",110,"Unf",0,1588,1698,"GasA","Ex","Y","SBrkr",1698,0,0,1698,0,0,2,0,3,1,"Ex",7,"Typ",1,"Gd","Attchd",2005,"Fin",3,730,"TA","TA","Y",192,74,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",275000
22,528138020,20,"RL",79,14122,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2005,2006,"Hip","CompShg","CemntBd","CmentBd","BrkFace",240,"Gd","TA","PConc","Ex","TA","No","GLQ",28,"Unf",0,1794,1822,"GasA","Ex","Y","SBrkr",1822,0,0,1822,0,0,2,0,3,1,"Ex",8,"Typ",1,"Gd","Attchd",2005,"RFn",3,678,"TA","TA","Y",0,119,0,0,0,0,NA,NA,NA,0,2,2010,"WD ","Normal",259000
23,528138060,20,"RL",70,10171,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",168,"Gd","TA","PConc","Gd","TA","No","GLQ",2,"Unf",0,1515,1517,"GasA","Ex","Y","SBrkr",1535,0,0,1535,0,0,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2004,"RFn",2,532,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","Normal",214000
24,528181050,120,"RL",41,7132,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",178,"Gd","TA","PConc","Gd","TA","Mn","GLQ",24,"Unf",0,1346,1370,"GasA","Ex","Y","SBrkr",1370,0,0,1370,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2006,"RFn",2,484,"TA","TA","Y",120,49,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",205000
25,528188120,160,"RL",36,2628,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","Wd Shng","Stone",106,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,764,764,"GasA","Ex","Y","SBrkr",764,862,0,1626,0,0,2,1,2,1,"Gd",6,"Typ",0,NA,"BuiltIn",2003,"RFn",2,474,"TA","TA","Y",0,27,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",175500
26,528358010,20,"RL",59,10593,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","1Story",7,5,1996,1996,"Hip","CompShg","VinylSd","VinylSd","BrkFace",338,"Gd","TA","PConc","Gd","TA","No","GLQ",919,"Unf",0,801,1720,"GasA","Ex","Y","SBrkr",1720,0,0,1720,1,0,2,0,3,1,"Gd",7,"Typ",1,"TA","Attchd",1996,"Fin",2,527,"TA","TA","Y",240,56,154,0,0,0,NA,NA,NA,0,3,2010,"WD ","Normal",260400
27,528363130,60,"RL",98,12256,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1994,1995,"Gable","CompShg","HdBoard","HdBoard","BrkFace",362,"Gd","TA","PConc","Ex","TA","Av","GLQ",1032,"Unf",0,431,1463,"GasA","Ex","Y","SBrkr",1500,1122,0,2622,1,0,2,1,3,1,"Gd",9,"Typ",2,"TA","Attchd",1994,"RFn",2,712,"TA","TA","Y",186,32,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",325000
28,528445060,20,"RL",73,8987,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",226,"Gd","TA","PConc","Gd","TA","","Unf",0,"Unf",0,1595,1595,"GasA","Ex","Y","SBrkr",1595,0,0,1595,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2005,"RFn",3,880,"TA","TA","Y",144,0,0,0,0,0,NA,NA,NA,0,5,2010,"WD ","Normal",221500
29,528458070,60,"FV",72,8640,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,2009,2009,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Mn","GLQ",24,"Unf",0,732,756,"GasA","Ex","Y","SBrkr",764,783,0,1547,0,0,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd",2009,"Unf",2,614,"TA","TA","Y",169,45,0,0,0,0,NA,NA,NA,0,6,2010,"Con","Normal",215200
30,528458110,20,"FV",75,9000,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2008,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",36,"Gd","TA","PConc","Gd","TA","Av","GLQ",1078,"Unf",0,488,1566,"GasA","Ex","Y","SBrkr",1566,0,0,1566,1,0,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2008,"RFn",2,750,"TA","TA","Y",144,168,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",262500
31,528480090,20,"FV",84,10440,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","1Fam","1Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","GLQ",1414,"Unf",0,54,1468,"GasA","Ex","Y","SBrkr",1468,0,0,1468,1,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2005,"Fin",2,528,"TA","TA","Y",0,102,0,0,216,0,NA,NA,NA,0,5,2010,"WD ","Normal",271500
32,531369060,60,"RL",70,11920,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",122,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,831,831,"GasA","Ex","Y","SBrkr",831,828,0,1659,0,0,2,1,3,1,"Gd",8,"Typ",0,NA,"Attchd",2004,"RFn",2,484,"TA","TA","Y",144,68,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",181000
33,531380080,60,"RL",NA,8880,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1994,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",695,"Unf",0,253,948,"GasA","Ex","Y","SBrkr",1222,888,0,2110,1,0,2,1,3,1,"Gd",8,"Typ",2,"Fa","Attchd",1994,"RFn",2,463,"TA","TA","Y",0,130,0,0,0,0,NA,NA,NA,0,5,2010,"WD ","Normal",205000
34,531451280,60,"RL",70,11218,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,5,1992,1992,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1055,1055,"GasA","Ex","Y","SBrkr",1055,790,0,1845,0,0,2,1,3,1,"Gd",8,"Typ",1,"TA","Attchd",1992,"RFn",2,462,"TA","TA","Y",635,104,0,0,0,0,NA,"GdPrv","Shed",400,5,2010,"WD ","Normal",189000
35,531452020,120,"RL",55,7892,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story",6,5,1979,1979,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,918,918,"GasA","TA","Y","SBrkr",918,0,0,918,0,0,2,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1979,"Unf",1,264,"TA","TA","Y",28,0,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",99500
36,531452050,120,"RL",50,7175,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story",6,5,1984,1984,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",623,"LwQ",121,0,744,"GasA","TA","Y","SBrkr",752,0,0,752,1,0,1,0,2,1,"TA",4,"Typ",0,NA,"Attchd",1984,"Unf",1,264,"TA","TA","Y",353,0,0,0,90,0,NA,"MnPrv",NA,0,2,2010,"WD ","Normal",125000
37,531452180,60,"RL",NA,9453,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","RRNe","Norm","1Fam","2Story",7,7,1993,2003,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","No","BLQ",402,"Unf",0,594,996,"GasA","Ex","Y","SBrkr",1014,730,0,1744,0,0,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd",1993,"RFn",2,457,"TA","TA","Y",370,70,0,238,0,0,NA,NA,NA,0,2,2010,"WD ","Normal",194500
38,531453010,20,"RL",81,9672,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","SawyerW","Norm","Norm","1Fam","1Story",6,5,1984,1985,"Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",338,"Unf",0,702,1040,"GasA","TA","Y","SBrkr",1097,0,0,1097,0,0,2,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1986,"Unf",2,480,"TA","TA","Y",0,0,0,0,0,0,NA,"GdPrv",NA,0,5,2010,"WD ","Normal",152000
39,532351140,90,"RM",68,8930,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","RRAe","Norm","Duplex","1.5Fin",6,5,1978,1978,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Slab",NA,NA,NA,NA,0,NA,0,0,0,"GasA","TA","Y","SBrkr",1318,584,0,1902,0,0,2,0,4,2,"TA",8,"Typ",0,NA,"Attchd",1978,"Unf",2,539,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",112000
40,532354090,85,"RL",88,11782,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","SFoyer",5,7,1961,1995,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","Av","ALQ",899,"Unf",0,210,1109,"GasA","TA","Y","SBrkr",1155,0,0,1155,1,0,1,0,3,1,"Gd",6,"Min2",0,NA,"Detchd",1987,"Unf",2,576,"TA","TA","Y",192,0,0,0,0,0,NA,"MnPrv","Shed",400,6,2010,"WD ","Normal",148000
41,532376160,20,"RL",65,8450,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","RRAe","Norm","1Fam","1Story",5,8,1965,2009,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","GLQ",553,"BLQ",117,224,894,"GasA","Ex","Y","SBrkr",894,0,0,894,1,0,1,0,3,1,"TA",5,"Typ",1,"Gd","Detchd",1973,"Unf",1,336,"TA","TA","Y",416,144,0,0,0,0,NA,"MnPrv",NA,0,4,2010,"WD ","Normal",138500
42,532377060,20,"RL",NA,9819,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","BrkFace",31,"TA","Gd","CBlock","TA","TA","No","BLQ",450,"Unf",0,432,882,"GasA","TA","Y","SBrkr",900,0,0,900,0,0,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1970,"Unf",1,280,"TA","TA","Y",0,0,0,0,0,0,NA,"MnPrv",NA,0,2,2010,"WD ","Normal",122000
43,532377100,20,"RL",75,7500,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",5,5,1963,1963,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",824,"Unf",0,216,1040,"GasA","Fa","Y","SBrkr",1040,0,0,1040,1,0,1,1,3,1,"TA",5,"Typ",0,NA,"Attchd",1963,"Fin",1,308,"TA","TA","Y",0,0,220,0,0,0,NA,"MnPrv",NA,0,6,2010,"WD ","Normal",133000
44,533130160,60,"RL",88,11134,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1992,1993,"Gable","CompShg","HdBoard","HdBoard","BrkFace",180,"Gd","TA","PConc","Gd","TA","No","GLQ",1129,"Unf",0,261,1390,"GasA","Ex","Y","SBrkr",1402,823,0,2225,1,0,2,1,4,1,"Gd",7,"Typ",1,"TA","Attchd",1992,"RFn",3,713,"TA","TA","Y",198,30,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",285000
45,533212020,160,"FV",24,2544,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",7,5,2004,2005,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",368,"ALQ",42,190,600,"GasA","Ex","Y","SBrkr",600,600,0,1200,1,0,2,1,2,1,"Gd",4,"Typ",0,NA,"Detchd",2004,"RFn",2,480,"TA","TA","Y",0,172,0,0,0,0,NA,NA,NA,0,2,2010,"WD ","Normal",149500
