"age","body_type","diet","drinks","drugs","education","height","income","last_online","offspring","orientation","pets","religion","sign","smokes","status","male","where_town","religion_modifer","sign_modifer","asian","black","hispanic_latin","indian","middle_eastern","native_american","pacific_islander","white","essay_link","essay_length","Class","tech","technology","math","computer","geek","science","fixing","climbing","matrix","electronic","internet","skiing","solving","nerdy","board","brain","shawshank","figuring","firefly","company","build","hobbies","golf","card","occasionally","guide","lists","section","recent","awesome","law","lol","justice","im","studying","animals","political","artist","spiritual","student","tattoos","health","education1","romance","dont","adult","teaching","haha","ipod","native","baseball","major","lover","school","psychology","loves","loyal","nyc","singing","kids"
35,"curvy","diet_missing","socially","drugs_missing","graduated_from_college_university",61,"missing",9,"doesnt_have_kids_and_doesnt_want_any","straight","likes_dogs_and_has_cats","judaism","cancer","no","seeing_someone",0,"san_francisco","and_laughing_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,8.02059914989697,"other",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,"fit","anything","often","drugs_missing","graduated_from_college_university",74,"missing",177,"kids_missing","straight","has_dogs","religion_missing","leo","no","single",1,"redwood_city","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,1,8.10137467122858,"stem",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"body_type_missing","diet_missing","drinks_missing","drugs_missing","graduated_from_college_university",68,"missing",9,"kids_missing","straight","pets_missing","religion_missing","sign_missing","smokes_missing","single",0,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,7.22693601849329,"other",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
38,"skinny","diet_missing","socially","sometimes","working_on_college_university",73,"missing",122,"kids_missing","straight","pets_missing","buddhism","taurus","trying_to_quit","single",1,"san_francisco","and_laughing_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,1,7.17395831975679,"other",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"fit","diet_missing","socially","never","graduated_from_college_university",71,"inc50000",41,"kids_missing","straight","has_dogs_and_has_cats","religion_missing","virgo","no","single",1,"redwood_city","religion_mod_missing","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,7.07242190053737,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,"curvy","diet_missing","socially","never","graduated_from_college_university",63,"missing",34,"kids_missing","straight","has_dogs_and_dislikes_cats","agnosticism","aries","no","single",0,"oakland","but_not_too_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,7.00940893270864,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
33,"athletic","mostly_vegetarian","drinks_missing","drugs_missing","ed_missing",67,"missing",74,"kids_missing","straight","pets_missing","religion_missing","libra","smokes_missing","single",1,"san_anselmo","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,5.88610403145016,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"thin","mostly_anything","not_at_all","never","graduated_from_college_university",70,"missing",0,"doesnt_have_kids_and_doesnt_want_any","straight","has_dogs_and_likes_cats","agnosticism","sign_missing","no","single",1,"redwood_city","and_somewhat_serious_about_it","sign_mod_missing",0,0,0,0,0,0,0,0,0,8.21202580462344,"stem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,"average","diet_missing","socially","never","working_on_college_university",70,"inc20000",4,"kids_missing","gay","has_dogs_and_likes_cats","catholicism","gemini","sometimes","single",1,"daly_city","and_laughing_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,1,7.79770203551669,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
24,"fit","strictly_anything","socially","drugs_missing","graduated_from_masters_program",71,"missing",80,"kids_missing","straight","likes_dogs_and_likes_cats","religion_missing","sign_missing","when_drinking","single",1,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,8.090708716084,"stem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"athletic","mostly_anything","drinks_missing","drugs_missing","graduated_from_college_university",71,"missing",1,"kids_missing","straight","pets_missing","judaism","sign_missing","smokes_missing","single",1,"san_francisco","but_not_too_serious_about_it","sign_mod_missing",0,0,0,0,0,0,0,0,0,7.04577657687951,"other",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
23,"average","diet_missing","often","drugs_missing","graduated_from_college_university",67,"inc70000",2,"kids_missing","straight","pets_missing","atheism","gemini","smokes_missing","single",1,"san_francisco","and_somewhat_serious_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,7.79276172081653,"stem",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"fit","diet_missing","socially","never","graduated_from_college_university",70,"missing",47,"kids_missing","straight","pets_missing","other","virgo","no","single",1,"san_francisco","religion_mod_missing","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,7.7510451179718,"stem",1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"average","diet_missing","not_at_all","never","ed_missing",72,"missing",2,"kids_missing","straight","likes_dogs","catholicism","gemini","sometimes","single",1,"oakland","and_laughing_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,7.36073990305828,"other",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,"athletic","diet_missing","socially","never","graduated_from_masters_program",75,"missing",5,"kids_missing","gay","likes_dogs","other","capricorn","no","single",1,"san_francisco","religion_mod_missing","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,7.39449310721904,"other",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"fit","anything","socially","never","graduated_from_masters_program",74,"inc150000",2,"kids_missing","straight","likes_dogs","religion_missing","pisces","no","single",1,"san_francisco","religion_mod_missing","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,7.92840602618053,"other",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"athletic","diet_missing","often","sometimes","graduated_from_college_university",67,"inc20000",43,"kids_missing","straight","has_dogs_and_likes_cats","other","pisces","yes","single",1,"san_francisco","but_not_too_serious_about_it","sign_mod_missing",0,0,0,0,0,0,0,0,0,5.48893772615669,"other",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"fit","mostly_anything","often","sometimes","graduated_from_college_university",70,"inc20000",7,"doesnt_have_kids_and_doesnt_want_any","straight","likes_dogs_and_likes_cats","agnosticism","gemini","sometimes","single",1,"san_francisco","and_laughing_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,7.14282740116162,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"average","mostly_other","socially","never","graduated_from_high_school",66,"missing",10,"has_kids","straight","has_dogs","christianity","libra","when_drinking","single",1,"vallejo","religion_mod_missing","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,6.58202513889283,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"body_type_missing","diet_missing","socially","drugs_missing","graduated_from_college_university",70,"inc30000",1,"kids_missing","straight","likes_dogs_and_likes_cats","other","sagittarius","no","single",1,"san_francisco","religion_mod_missing","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,7.99057688174392,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,"full_figured","vegetarian","socially","never","dropped_out_of_college_university",68,"inc40000",2,"doesnt_want_kids","straight","likes_dogs_and_has_cats","agnosticism","leo","no","single",0,"walnut_creek","and_laughing_about_it","sign_mod_missing",0,0,0,0,0,0,0,0,0,8.39026849784257,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,"thin","diet_missing","socially","never","graduated_from_masters_program",75,"missing",221,"kids_missing","straight","pets_missing","religion_missing","sign_missing","no","single",1,"palo_alto","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,7.21007962817079,"stem",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,"athletic","diet_missing","very_often","often","dropped_out_of_high_school",69,"inc1000000",2,"doesnt_want_kids","straight","pets_missing","atheism","sign_missing","yes","single",1,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,7.14440718032114,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"average","mostly_anything","socially","sometimes","graduated_from_college_university",69,"missing",4,"doesnt_have_kids","straight","pets_missing","agnosticism","pisces","smokes_missing","single",1,"san_francisco","but_not_too_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,6.81563999007433,"other",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27,"fit","mostly_anything","socially","never","graduated_from_two_year_college",64,"missing",367,"kids_missing","straight","likes_dogs_and_has_cats","buddhism","leo","no","single",0,"oakland","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,5.07517381523383,"other",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"full_figured","strictly_other","desperately","drugs_missing","graduated_from_college_university",73,"missing",1,"kids_missing","straight","likes_dogs_and_likes_cats","other","aries","no","single",1,"san_francisco","and_laughing_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,1,8.03333401588006,"stem",0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"average","mostly_anything","socially","never","graduated_from_masters_program",63,"missing",4,"doesnt_have_kids_but_wants_them","straight","likes_dogs_and_likes_cats","christianity","sign_missing","no","single",0,"san_rafael","and_very_serious_about_it","sign_mod_missing",0,0,0,0,0,0,0,0,0,7.02908756414966,"other",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"fit","mostly_anything","very_often","sometimes","working_on_college_university",73,"inc40000",99,"kids_missing","straight","has_dogs_and_likes_cats","religion_missing","capricorn","sometimes","single",1,"berkeley","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,6.11368217983223,"stem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"athletic","mostly_vegetarian","socially","never","graduated_from_high_school",69,"inc100000",97,"has_a_kid","straight","pets_missing","other","cancer","no","single",1,"pleasant_hill","and_somewhat_serious_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,5.91350300563827,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,"average","diet_missing","not_at_all","never","college_university",70,"missing",11,"kids_missing","bisexual","has_dogs_and_likes_cats","agnosticism","leo","no","single",1,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,8.36427508499152,"other",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
30,"skinny","mostly_anything","socially","never","graduated_from_masters_program",63,"missing",0,"kids_missing","straight","pets_missing","catholicism","leo","no","single",0,"san_francisco","and_somewhat_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,6.56385552653213,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
35,"body_type_missing","diet_missing","socially","drugs_missing","graduated_from_college_university",66,"missing",226,"kids_missing","straight","likes_dogs_and_likes_cats","religion_missing","libra","no","single",0,"alameda","religion_mod_missing","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,0,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"curvy","anything","socially","never","working_on_college_university",61,"inc20000",1,"kids_missing","straight","likes_dogs_and_dislikes_cats","christianity","gemini","no","single",0,"mill_valley","but_not_too_serious_about_it","sign_mod_missing",0,0,0,0,0,0,0,0,0,7.56631101477246,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
24,"curvy","diet_missing","socially","drugs_missing","graduated_from_college_university",66,"missing",22,"kids_missing","straight","pets_missing","catholicism","virgo","no","single",0,"san_francisco","and_somewhat_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,6.20859002609663,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35,"a_little_extra","anything","socially","never","graduated_from_college_university",62,"missing",338,"has_a_kid","straight","has_dogs","catholicism","sagittarius","no","single",0,"martinez","but_not_too_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,0,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"fit","mostly_anything","rarely","never","graduated_from_college_university",71,"inc100000",1,"doesnt_have_kids_but_wants_them","straight","likes_dogs_and_likes_cats","atheism","leo","no","single",1,"san_francisco","but_not_too_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,8.04846874366888,"stem",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,"body_type_missing","diet_missing","socially","drugs_missing","ed_missing",68,"missing",4,"kids_missing","straight","pets_missing","religion_missing","pisces","no","single",0,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,4.86753445045558,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"fit","mostly_anything","socially","never","graduated_from_masters_program",75,"inc50000",1,"kids_missing","straight","pets_missing","agnosticism","virgo","no","single",1,"berkeley","and_laughing_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,8.12769985281777,"stem",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
42,"thin","mostly_anything","socially","never","graduated_from_college_university",65,"missing",1,"doesnt_have_kids_but_might_want_them","straight","likes_dogs_and_has_cats","religion_missing","virgo","no","single",1,"oakland","religion_mod_missing","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,6.2841341610708,"stem",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"average","anything","socially","drugs_missing","graduated_from_college_university",62,"missing",4,"kids_missing","straight","pets_missing","religion_missing","scorpio","no","single",0,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,7.60240133566582,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"thin","diet_missing","socially","never","working_on_college_university",70,"missing",11,"doesnt_want_kids","straight","dislikes_dogs_and_likes_cats","atheism","capricorn","no","single",1,"hayward","religion_mod_missing","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,7.59689443814454,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
21,"average","strictly_anything","socially","sometimes","dropped_out_of_space_camp",66,"missing",1,"doesnt_want_kids","straight","likes_dogs_and_has_cats","religion_missing","sign_missing","yes","seeing_someone",1,"oakland","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,1,7.15383380157884,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
