"male","essay_link","essay_length","Class","tech","technology","math","computer","geek","science","fixing","climbing","matrix","electronic","internet","skiing","solving","nerdy","board","brain","shawshank","figuring","firefly","company","build","hobbies","golf","card","occasionally","guide","lists","section","recent","awesome","law","lol","justice","im","studying","animals","political","artist","spiritual","student","tattoos","health","education1","romance","dont","adult","teaching","haha","ipod","native","baseball","major","lover","school","psychology","loves","loyal","nyc","singing","kids","offspring_A","pets_A","atheist","smoke","single","town_A","SV","rel_imp","sign_imp","age_A","age_dummy","body_type_A","diet_A","drinks_A","education_A","phdYN","educ_dummy1","educ_dummy2","height_A","income100000","UnionDummy"
"f","no",8.02059914989697,"other","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","doesnt_want","has_animals","no","altro","altro","san_francisco","no","0","1","35","yes","over_size","diet_missing","socially","university","no","no","yes","61-","no","no"
"m","yes",8.10137467122858,"stem","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","has_animals","no","altro","yes","SV","yes","missing","missing","26","yes","fit","anything","often","university","no","no","yes","74","no","yes"
"f","no",7.22693601849329,"other","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","yes","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","32","yes","body_type_missing","diet_missing","drinks_missing","university","no","no","yes","68","no","no"
"m","yes",7.17395831975679,"other","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","0","1","38","yes","thin","diet_missing","socially","other","no","yes","no","73","no","yes"
"m","no",7.07242190053737,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","kids_missing","has_animals","no","altro","yes","SV","yes","missing","1","24","no","fit","diet_missing","socially","university","no","no","yes","71","no","yes"
"f","no",7.00940893270864,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","kids_missing","no_animals","no","altro","yes","medium","no","1","0","27","yes","over_size","diet_missing","socially","university","no","no","yes","63","no","no"
"m","no",5.88610403145016,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","low","no","missing","missing","33","yes","athletic","vegetarian","drinks_missing","ed_missing","no","yes","no","67","no","no"
"m","no",8.21202580462344,"stem","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","doesnt_want","has_animals","no","altro","yes","SV","yes","2","missing","28","yes","thin","anything","not_at_all","university","no","no","yes","70","no","yes"
"m","yes",7.79770203551669,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","kids_missing","has_animals","no","altro","yes","medium","no","0","1","24","no","average","diet_missing","socially","other","no","yes","no","70","no","no"
"m","no",8.090708716084,"stem","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","missing","missing","24","no","fit","anything","socially","masters_program","no","no","yes","71","no","no"
"m","no",7.04577657687951,"other","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","kids_missing","pets_missing","no","altro","yes","san_francisco","no","1","missing","27","yes","athletic","anything","drinks_missing","university","no","no","yes","71","no","no"
"m","no",7.79276172081653,"stem","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","yes","altro","yes","san_francisco","no","2","1","23","no","average","diet_missing","often","university","no","no","yes","67","no","no"
"m","no",7.7510451179718,"stem","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","0","31","yes","fit","diet_missing","socially","university","no","no","yes","70","no","yes"
"m","no",7.36073990305828,"other","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","kids_missing","likes_animals","no","altro","yes","medium","no","0","1","40-44","no","average","diet_missing","not_at_all","ed_missing","no","yes","no","72","no","no"
"m","no",7.39449310721904,"other","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","missing","0","45-49","no","athletic","diet_missing","socially","masters_program","no","no","yes","75+","no","no"
"m","no",7.92840602618053,"other","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","missing","0","45-49","no","fit","anything","socially","masters_program","no","no","yes","74","no","no"
"m","no",5.48893772615669,"other","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","has_animals","no","yes","yes","san_francisco","no","1","missing","23","no","athletic","diet_missing","often","university","no","no","yes","67","no","no"
"m","no",7.14282740116162,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","likes_animals","no","altro","yes","san_francisco","no","0","0","27","yes","fit","anything","often","university","no","no","yes","70","no","no"
"m","no",6.58202513889283,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","has_kids","has_animals","no","altro","yes","medium","no","missing","1","35","yes","average","other","socially","other","no","yes","no","66","no","no"
"m","no",7.99057688174392,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","missing","1","35","yes","body_type_missing","diet_missing","socially","university","no","no","yes","70","no","no"
"f","no",8.39026849784257,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","doesnt_want","has_animals","no","altro","yes","low","no","0","missing","28","yes","over_size","vegetarian","socially","dropped_university","no","no","no","68","no","no"
"m","no",7.21007962817079,"stem","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","kids_missing","pets_missing","no","altro","yes","SV","yes","missing","missing","35","yes","thin","diet_missing","socially","masters_program","no","no","yes","75+","no","yes"
"m","no",7.14440718032114,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","pets_missing","yes","yes","yes","san_francisco","no","missing","missing","21","no","athletic","diet_missing","very_often","dropped","no","no","no","69","no","no"
"m","no",6.81563999007433,"other","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","doesnt_have_kids","pets_missing","no","altro","yes","san_francisco","no","1","0","26","yes","average","anything","socially","university","no","no","yes","69","no","yes"
"f","no",5.07517381523383,"other","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","has_animals","no","altro","yes","medium","no","missing","missing","27","yes","fit","anything","socially","work_other","no","no","yes","64","no","yes"
"m","yes",8.03333401588006,"stem","no","no","yes","no","no","yes","no","no","yes","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","0","0","23","no","over_size","other","very_often","university","no","no","yes","73","no","no"
"f","no",7.02908756414966,"other","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","wants","likes_animals","no","altro","yes","low","no","3","missing","25","yes","average","anything","socially","masters_program","no","no","yes","63","no","yes"
"m","no",6.11368217983223,"stem","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","has_animals","no","altro","yes","medium","no","missing","missing","25","yes","fit","anything","very_often","other","no","yes","no","73","no","no"
"m","no",5.91350300563827,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","has_kids","pets_missing","no","altro","yes","low","no","2","1","50+","no","athletic","vegetarian","socially","other","no","yes","no","69","yes","no"
"m","no",8.36427508499152,"other","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","kids_missing","has_animals","no","altro","yes","san_francisco","no","missing","missing","18-21","no","average","diet_missing","not_at_all","university","no","no","yes","70","no","no"
"f","no",6.56385552653213,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","2","0","30","yes","thin","anything","socially","masters_program","no","no","yes","63","no","no"
"f","no",0,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","high","no","missing","0","35","yes","body_type_missing","diet_missing","socially","university","no","no","yes","66","no","no"
"f","no",7.56631101477246,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","no","no","yes","no","yes","no","yes","no","no","no","no","kids_missing","no_animals","no","altro","yes","low","no","1","missing","18-21","no","over_size","anything","socially","other","no","yes","no","61-","no","no"
"f","no",6.20859002609663,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","2","0","24","no","over_size","diet_missing","socially","university","no","no","yes","66","no","no"
"f","no",0,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","has_kids","has_animals","no","altro","yes","low","no","1","0","35","yes","a_little_extra","anything","socially","university","no","no","yes","62","no","no"
"m","no",8.04846874366888,"stem","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","wants","likes_animals","yes","altro","yes","san_francisco","no","1","0","34","yes","fit","anything","rarely","university","no","no","yes","71","yes","no"
"f","no",4.86753445045558,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","30","yes","body_type_missing","diet_missing","socially","ed_missing","no","yes","no","68","no","no"
"m","no",8.12769985281777,"stem","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","kids_missing","pets_missing","no","altro","yes","medium","no","0","0","34","yes","fit","anything","socially","masters_program","no","no","yes","75+","no","yes"
"m","no",6.2841341610708,"stem","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","wants","has_animals","no","altro","yes","medium","no","missing","0","40-44","no","thin","anything","socially","university","no","no","yes","65","no","yes"
"f","no",7.60240133566582,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","26","yes","average","anything","socially","university","no","no","yes","62","no","no"
"m","no",7.59689443814454,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","doesnt_want","no_animals","yes","altro","yes","medium","no","missing","0","18-21","no","thin","diet_missing","socially","other","no","yes","no","70","no","no"
"m","yes",7.15383380157884,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","doesnt_want","has_animals","no","yes","altro","medium","no","missing","missing","21","no","average","anything","socially","dropped","no","no","no","66","no","no"
"m","no",7.58324752430336,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","has_animals","no","yes","yes","san_francisco","no","1","1","31","yes","athletic","anything","often","work_other","no","no","yes","72","no","no"
"m","no",6.77650699237218,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","28","yes","body_type_missing","diet_missing","often","other","no","yes","no","71","no","no"
"f","yes",8.11282747875137,"stem","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","has_animals","yes","altro","yes","san_francisco","no","3","0","34","yes","thin","vegetarian","socially","university","no","no","yes","64","no","yes"
"m","no",0,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","has_kids","pets_missing","no","altro","yes","SV","yes","missing","missing","45-49","no","athletic","anything","socially","other","no","yes","no","74","no","yes"
"f","no",7.47420480649612,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","has_kids","likes_animals","no","altro","yes","high","no","missing","1","50+","no","fit","anything","socially","university","no","no","yes","63","no","no"
"m","no",7.97590836016554,"other","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","SV","yes","1","1","32","yes","average","diet_missing","rarely","university","no","no","yes","68","no","yes"
"f","no",6.71659477352098,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","0","25","yes","average","anything","often","dropped","no","no","no","67","no","no"
"f","no",7.350516171834,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","has_kids","pets_missing","no","altro","yes","low","no","1","0","45-49","no","thin","anything","rarely","other","no","yes","no","61-","no","no"
"m","no",7.2902928824466,"stem","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","kids_missing","likes_animals","no","altro","yes","san_francisco","no","missing","missing","26","yes","fit","anything","socially","university","no","no","yes","66","no","no"
"m","no",6.91869521902047,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","has_animals","no","altro","yes","low","no","missing","missing","50+","no","average","anything","often","university","no","no","yes","73","no","no"
"m","no",8.10802122137675,"other","yes","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","wants","likes_animals","no","altro","yes","san_francisco","no","1","0","39","yes","athletic","anything","socially","phd_program","yes","no","no","75+","no","yes"
"m","no",7.61480536471107,"other","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","doesnt_have_kids","pets_missing","no","altro","yes","high","no","2","0","33","yes","average","anything","socially","work_other","no","no","yes","69","no","no"
"m","no",8.12563098847706,"other","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","kids_missing","likes_animals","no","altro","altro","san_francisco","no","1","0","29","yes","fit","anything","socially","university","no","no","yes","66","no","no"
